"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"
14	0.345	1	4	3	36	"1;3;2"	"id_070"	0	1
15	0.291	1	2	3	38	"1;3;2"	"id_070"	0	1
16	0.226	1	0	3	38	"1;3;2"	"id_070"	0	1
17	0.226	1	0	3	38	"1;3;2"	"id_070"	0	1
18	0.221	1	0	3	38	"1;3;2"	"id_070"	0	1
19	0.65	2	5	3	43	"1;3;2"	"id_070"	0	1
20	0.699	2	4	3	47	"1;3;2"	"id_070"	0	1
21	0.327	2	8	3	55	"1;3;2"	"id_070"	0	1
22	0.927	2	-1	3	54	"1;3;2"	"id_070"	0	1
23	0.406	2	-1	3	53	"1;3;2"	"id_070"	0	1
24	0.556	3	4	3	57	"1;3;2"	"id_070"	0	1
25	0.542	3	5	3	62	"1;3;2"	"id_070"	0	1
26	0.456	3	4	3	66	"1;3;2"	"id_070"	0	1
27	0.401	3	2	3	68	"1;3;2"	"id_070"	0	1
28	0.421	3	2	3	70	"1;3;2"	"id_070"	0	1
29	0.401	3	5	3	75	"1;3;2"	"id_070"	0	1
30	0.612	3	4	3	79	"1;3;2"	"id_070"	0	1
31	0.55	3	3	3	82	"1;3;2"	"id_070"	0	1
32	0.415	3	0	3	82	"1;3;2"	"id_070"	0	1
33	0.347	3	-1	3	81	"1;3;2"	"id_070"	0	1
34	0.769	2	-9	3	72	"1;3;2"	"id_070"	0	1
35	0.622	2	5	3	77	"1;3;2"	"id_070"	0	1
36	0.458	1	5	3	82	"1;3;2"	"id_070"	0	1
37	0.424	1	-1	3	81	"1;3;2"	"id_070"	0	1
38	0.543	1	3	3	84	"1;3;2"	"id_070"	0	1
39	0.631	2	-2	3	82	"1;3;2"	"id_070"	0	1
40	0.521	1	2	3	84	"1;3;2"	"id_070"	0	1
41	0.52	3	-3	3	81	"1;3;2"	"id_070"	0	1
42	0.508	3	0	3	81	"1;3;2"	"id_070"	0	1
43	0.59	1	2	3	83	"1;3;2"	"id_070"	0	1
44	0.419	1	4	3	87	"1;3;2"	"id_070"	0	1
45	0.552	1	-2	3	85	"1;3;2"	"id_070"	0	1
46	0.378	1	2	3	87	"1;3;2"	"id_070"	0	1
47	0.586	1	4	3	91	"1;3;2"	"id_070"	0	1
48	0.275	1	4	3	95	"1;3;2"	"id_070"	0	1
49	0.568	1	1	3	96	"1;3;2"	"id_070"	0	1
50	0.341	1	0	3	96	"1;3;2"	"id_070"	0	1
0	-103.46	0	0	4	0	"1;3;2"	"id_070"	0	1
1	109.8	2	-1	4	-1	"1;2;3"	"id_070"	0	1
2	0.484	3	3	4	2	"1;2;3"	"id_070"	0	1
3	0.582	1	5	4	7	"1;2;3"	"id_070"	0	1
4	0.741	3	4	4	11	"1;2;3"	"id_070"	0	1
5	0.612	1	2	4	13	"1;2;3"	"id_070"	0	1
6	0.531	1	5	4	18	"1;2;3"	"id_070"	0	1
7	0.484	1	4	4	22	"1;2;3"	"id_070"	0	1
8	0.464	1	2	4	24	"1;2;3"	"id_070"	0	1
9	0.459	1	8	4	32	"1;2;3"	"id_070"	0	1
10	0.431	1	1	4	33	"1;2;3"	"id_070"	0	1
11	0.397	1	1	4	34	"1;2;3"	"id_070"	0	1
12	0.476	1	2	4	36	"1;2;3"	"id_070"	0	1
13	0.543	1	1	4	37	"1;2;3"	"id_070"	0	1
14	0.463	1	2	4	39	"1;2;3"	"id_070"	0	1
15	0.434	1	4	4	43	"1;2;3"	"id_070"	0	1
16	0.467	1	8	4	51	"1;2;3"	"id_070"	0	1
17	0.425	1	4	4	55	"1;2;3"	"id_070"	0	1
18	0.415	1	2	4	57	"1;2;3"	"id_070"	0	1
19	0.435	1	2	4	59	"1;2;3"	"id_070"	0	1
20	0.373	1	3	4	62	"1;2;3"	"id_070"	0	1
21	0.5	1	6	4	68	"1;2;3"	"id_070"	0	1
22	0.512	1	4	4	72	"1;2;3"	"id_070"	0	1
23	0.492	1	3	4	75	"1;2;3"	"id_070"	0	1
24	0.496	1	3	4	78	"1;2;3"	"id_070"	0	1
25	0.474	1	4	4	82	"1;2;3"	"id_070"	0	1
26	0.531	1	4	4	86	"1;2;3"	"id_070"	0	1
27	0.434	1	5	4	91	"1;2;3"	"id_070"	0	1
28	0.547	1	-2	4	89	"1;2;3"	"id_070"	0	1
29	0.409	1	3	4	92	"1;2;3"	"id_070"	0	1
30	0.648	3	4	4	96	"1;2;3"	"id_070"	0	1
31	0.513	3	2	4	98	"1;2;3"	"id_070"	0	1
32	0.462	3	3	4	101	"1;2;3"	"id_070"	0	1
33	0.398	3	5	4	106	"1;2;3"	"id_070"	0	1
34	0.468	3	7	4	113	"1;2;3"	"id_070"	0	1
35	0.399	3	1	4	114	"1;2;3"	"id_070"	0	1
36	0.423	3	1	4	115	"1;2;3"	"id_070"	0	1
37	0.441	3	4	4	119	"1;2;3"	"id_070"	0	1
38	0.5	3	4	4	123	"1;2;3"	"id_070"	0	1
39	0.489	3	4	4	127	"1;2;3"	"id_070"	0	1
40	0.519	3	-3	4	124	"1;2;3"	"id_070"	0	1
41	0.528	3	8	4	132	"1;2;3"	"id_070"	0	1
42	0.784	3	2	4	134	"1;2;3"	"id_070"	0	1
43	0.39	3	7	4	141	"1;2;3"	"id_070"	0	1
44	0.401	3	14	4	155	"1;2;3"	"id_070"	0	1
45	0.351	3	-8	4	147	"1;2;3"	"id_070"	0	1
46	0.482	3	0	4	147	"1;2;3"	"id_070"	0	1
47	0.494	3	-4	4	143	"1;2;3"	"id_070"	0	1
48	0.393	3	3	4	146	"1;2;3"	"id_070"	0	1
49	0.843	1	5	4	151	"1;2;3"	"id_070"	0	1
50	0.507	1	3	4	154	"1;2;3"	"id_070"	0	1
0	-133.844	0	0	5	0	"1;2;3"	"id_070"	0	1
1	140.117	1	0	5	0	"3;1;2"	"id_070"	0	1
2	0.508	2	0	5	0	"3;1;2"	"id_070"	0	1
3	0.507	3	2	5	2	"3;1;2"	"id_070"	0	1
4	0.581	3	2	5	4	"3;1;2"	"id_070"	0	1
5	0.456	3	4	5	8	"3;1;2"	"id_070"	0	1
6	0.589	3	3	5	11	"3;1;2"	"id_070"	0	1
7	0.496	3	4	5	15	"3;1;2"	"id_070"	0	1
8	0.56	3	4	5	19	"3;1;2"	"id_070"	0	1
9	0.361	3	1	5	20	"3;1;2"	"id_070"	0	1
10	0.501	3	2	5	22	"3;1;2"	"id_070"	0	1
11	0.473	3	2	5	24	"3;1;2"	"id_070"	0	1
12	0.409	3	0	5	24	"3;1;2"	"id_070"	0	1
13	0.68	3	3	5	27	"3;1;2"	"id_070"	0	1
14	0.486	3	0	5	27	"3;1;2"	"id_070"	0	1
15	0.51	3	5	5	32	"3;1;2"	"id_070"	0	1
16	0.501	3	7	5	39	"3;1;2"	"id_070"	0	1
17	0.422	3	-2	5	37	"3;1;2"	"id_070"	0	1
18	0.389	3	7	5	44	"3;1;2"	"id_070"	0	1
19	0.463	3	3	5	47	"3;1;2"	"id_070"	0	1
20	0.404	3	8	5	55	"3;1;2"	"id_070"	0	1
21	0.538	3	4	5	59	"3;1;2"	"id_070"	0	1
22	0.398	3	4	5	63	"3;1;2"	"id_070"	0	1
23	0.468	3	2	5	65	"3;1;2"	"id_070"	0	1
24	0.523	3	5	5	70	"3;1;2"	"id_070"	0	1
25	0.559	3	8	5	78	"3;1;2"	"id_070"	0	1
26	0.43	3	0	5	78	"3;1;2"	"id_070"	0	1
27	0.469	3	4	5	82	"3;1;2"	"id_070"	0	1
28	0.503	3	3	5	85	"3;1;2"	"id_070"	0	1
29	0.468	3	2	5	87	"3;1;2"	"id_070"	0	1
30	0.445	3	-5	5	82	"3;1;2"	"id_070"	0	1
31	0.465	3	1	5	83	"3;1;2"	"id_070"	0	1
32	0.389	3	-3	5	80	"3;1;2"	"id_070"	0	1
33	0.47	3	0	5	80	"3;1;2"	"id_070"	0	1
34	0.579	2	1	5	81	"3;1;2"	"id_070"	0	1
35	0.589	2	3	5	84	"3;1;2"	"id_070"	0	1
36	0.529	2	4	5	88	"3;1;2"	"id_070"	0	1
37	0.453	2	1	5	89	"3;1;2"	"id_070"	0	1
38	0.375	2	2	5	91	"3;1;2"	"id_070"	0	1
39	0.489	2	1	5	92	"3;1;2"	"id_070"	0	1
40	0.476	2	2	5	94	"3;1;2"	"id_070"	0	1
41	0.511	2	5	5	99	"3;1;2"	"id_070"	0	1
42	0.422	2	0	5	99	"3;1;2"	"id_070"	0	1
43	0.482	2	-1	5	98	"3;1;2"	"id_070"	0	1
44	0.481	2	5	5	103	"3;1;2"	"id_070"	0	1
45	0.542	1	3	5	106	"3;1;2"	"id_070"	0	1
46	0.661	1	7	5	113	"3;1;2"	"id_070"	0	1
47	0.505	1	-2	5	111	"3;1;2"	"id_070"	0	1
48	0.482	1	9	5	120	"3;1;2"	"id_070"	0	1
49	0.483	2	2	5	122	"3;1;2"	"id_070"	0	1
50	0.891	1	3	5	125	"3;1;2"	"id_070"	0	1
0	-164.488	0	0	6	0	"3;1;2"	"id_070"	0	1
